task,metric,base,v7mc,align,lift_v7mc,lift_align,frac
arc_challenge,acc_norm,0.505,0.855,0.4,0.35,-0.105,-0.3
hellaswag,acc_norm,0.54,0.71,0.5125,0.17,-0.0275,-0.1618
winogrande,acc,0.6575,0.8475,0.6525,0.19,-0.005,-0.0263
truthfulqa_mc1,acc,0.4375,0.81,0.32,0.3725,-0.1175,-0.3154
