task,metric,base,v7mc,align,lift_v7mc,lift_align,frac
arc_challenge,acc_norm,0.505,0.855,0.5825,0.35,0.0775,0.2214
hellaswag,acc_norm,0.54,0.71,0.6375,0.17,0.0975,0.5735
winogrande,acc,0.6575,0.8475,0.7325,0.19,0.075,0.3947
truthfulqa_mc1,acc,0.4375,0.81,0.3775,0.3725,-0.06,-0.1611
